,City,Longitude,Latitude,Temperature,Max_Temperature,Humidity,Clouds,Wind Speed,Country,Datetime
291,quimper,-4.1,48.0,42.8,42.8,75,100,1.03,FR,1619747203
292,rio grande,-52.0986,-32.035,60.96200000000006,60.96200000000006,79,1,2.65,BR,1619747203
293,kot diji,68.7083,27.3427,77.0,77.0,57,3,4.16,PK,1619747204
294,puerto armuelles,-82.8667,8.2833,74.3180000000001,77.0,94,40,1.03,PA,1619747205
295,kokstad,29.4241,-30.5472,52.736000000000075,52.736000000000075,97,100,2.0,ZA,1619747205
296,carnarvon,113.6333,-24.8667,75.2,75.2,69,40,7.2,AU,1619746970
297,derzhavinsk,66.3167,51.1,46.65200000000008,46.65200000000008,56,43,2.25,KZ,1619747206
298,camopi,-52.3158,3.1655,71.07800000000006,71.07800000000006,98,100,1.11,GF,1619747207
299,luanda,13.2343,-8.8368,75.2,75.2,94,40,1.54,AO,1619746915
300,bima,118.7167,-8.4667,85.6760000000001,85.6760000000001,63,21,1.84,ID,1619747208
301,roald,6.1333,62.5833,34.34000000000002,37.4,75,27,4.63,NO,1619747209
302,bangassou,22.8184,4.7413,70.03399999999999,70.03399999999999,87,100,1.03,CF,1619747210
303,zhigansk,123.3711,66.7697,31.874000000000013,31.874000000000013,98,100,3.36,RU,1619747210
304,svetlogorsk,29.7333,52.6333,50.39600000000005,50.39600000000005,81,100,6.09,BY,1619747211
305,salalah,54.0924,17.0151,82.4,82.4,83,75,1.54,OM,1619747057
306,jacqueville,-4.4146,5.2052,80.6,80.6,94,20,1.54,CI,1619747212
307,santa marta,-74.199,11.2408,82.16600000000001,82.4,74,20,4.12,CO,1619747213
308,teknaf,92.3058,20.8624,83.984,83.984,70,24,1.71,BD,1619747214
309,mandera,41.867,3.9366,80.7260000000001,80.7260000000001,67,100,5.16,KE,1619747215
310,klaksvik,-6.5889999999999995,62.2266,37.4,37.4,65,90,4.12,FO,1619746927
311,shirokiy,129.523,49.758,54.06800000000008,54.06800000000008,36,100,6.1,RU,1619747216
312,korla,86.1469,41.7597,75.07400000000001,75.07400000000001,13,0,1.31,CN,1619747217
313,grindavik,-22.4338,63.8424,41.0,41.0,81,90,2.57,IS,1619747218
314,san ramon,-121.978,37.7799,66.05600000000004,75.2,27,1,5.14,US,1619746964
315,abu dhabi,54.3667,24.4667,85.2260000000001,86.0,48,0,1.03,AE,1619746943
316,san pedro,121.0167,14.35,87.53000000000004,89.00600000000003,70,40,3.09,PH,1619747219
317,inhambane,35.3833,-23.865,71.97800000000007,71.97800000000007,77,0,2.47,MZ,1619747220
318,broken hill,141.4333,-31.95,73.4,73.4,28,0,4.63,AU,1619746985
319,forest grove,-123.1107,45.5198,75.12800000000007,75.2,31,1,5.66,US,1619747022
320,dabou,-4.3769,5.3256,80.6,80.6,94,20,1.54,CI,1619747222
321,narsaq,-46.05,60.9167,35.6,35.6,80,20,1.03,GL,1619746989
322,suntar,117.6319,62.1444,37.52600000000009,37.52600000000009,64,95,2.7,RU,1619747024
323,san quintin,-115.95,30.4833,64.94000000000003,64.94000000000003,72,0,3.7,MX,1619747223
324,inirida,-67.9239,3.8653,72.12200000000004,72.12200000000004,99,100,0.11,CO,1619747224
325,vardo,31.1107,70.3705,30.578000000000067,30.578000000000067,94,100,9.74,NO,1619747224
326,mbandaka,18.2603,0.0487,70.8260000000001,70.8260000000001,95,100,1.2,CD,1619747225
327,bandar,99.75,2.05,74.26400000000002,74.26400000000002,97,100,1.2,ID,1619747226
328,laguna,-121.4238,38.421,87.80000000000001,87.80000000000001,16,1,3.09,US,1619747227
329,ubud,115.2654,-8.5098,84.2,84.2,79,20,4.12,ID,1619747228
330,manati,-66.4921,18.4275,71.36600000000001,73.99400000000007,91,6,3.94,PR,1619747229
331,provideniya,-173.3,64.3833,32.0,32.0,69,75,3.0,RU,1619747230
332,san blas,-105.2667,21.5167,74.2100000000001,74.2100000000001,76,7,1.51,MX,1619747231
333,smithers,-127.1743,54.7804,57.2,57.2,51,90,10.29,CA,1619747102
334,kaeo,173.7833,-35.1,69.99800000000002,69.99800000000002,59,13,1.34,NZ,1619747232
335,muisne,-80.0333,0.6,76.82000000000006,76.82000000000006,85,100,2.57,EC,1619746943
336,punta alta,-62.0736,-38.8759,64.88600000000008,64.88600000000008,64,6,7.33,AR,1619747233
337,smidovich,133.8167,48.6,52.556000000000026,52.556000000000026,52,97,5.91,RU,1619747233
338,anaconda,-112.9423,46.1285,61.772000000000034,66.2,26,1,6.69,US,1619747234
339,husavik,-17.3389,66.0449,35.6,35.6,87,90,1.54,IS,1619747235
340,vanavara,102.2797,60.34,40.11800000000009,40.11800000000009,59,81,3.7,RU,1619747235
341,saint-joseph,55.6167,-21.3667,72.68000000000004,73.4,83,90,7.72,RE,1619747015
342,san patricio,-97.5169,28.017,77.0,78.008,94,90,4.63,US,1619747237
343,winona,-91.7668,43.9666,59.0,59.0,38,1,2.3,US,1619747238
344,yerbogachen,108.0108,61.2767,37.92200000000004,37.92200000000004,66,70,2.75,RU,1619746953
345,mayor pablo lagerenza,-60.7718,-19.9309,61.23200000000001,61.23200000000001,49,0,2.53,PY,1619747239
346,honiara,159.95,-9.4333,85.01000000000009,85.01000000000009,69,24,2.39,SB,1619747240
347,antalaha,50.2788,-14.9003,74.24600000000007,74.24600000000007,87,25,3.01,MG,1619746973
348,tiarei,-149.3333,-17.5333,89.6,89.6,58,40,2.06,PF,1619747241
349,coquimbo,-71.3436,-29.9533,55.400000000000006,55.400000000000006,88,0,2.06,CL,1619747003
350,cukai,103.4167,4.25,84.09200000000001,84.2,79,20,1.54,MY,1619747223
351,grand-santi,-54.3833,4.25,71.6,71.6,99,100,0.9,GF,1619747242
352,mandan,-100.8896,46.8267,62.07800000000007,66.2,26,1,6.17,US,1619747243
353,gulmarg,74.3921,34.049,45.842,45.842,76,89,1.43,IN,1619747244
354,katangli,143.2326,51.7102,32.702000000000076,32.702000000000076,91,100,4.48,RU,1619747244
355,kupang,123.5833,-10.1667,84.93800000000005,84.93800000000005,66,1,3.62,ID,1619747245
356,ikovka,64.9375,55.6089,42.92600000000009,42.92600000000009,69,2,4.36,RU,1619747246
357,bindura,31.3306,-17.3019,59.0,59.0,85,0,2.68,ZW,1619747246
358,olga,135.2892,43.7444,51.134,51.134,49,100,5.33,RU,1619747247
359,casper,-106.3131,42.8666,65.33600000000007,69.80000000000001,19,1,5.14,US,1619747248
360,porbandar,69.6093,21.6422,80.51000000000009,80.51000000000009,75,82,3.38,IN,1619747248
361,guanambi,-42.7814,-14.2233,72.89600000000007,72.89600000000007,63,5,5.45,BR,1619747249
362,boca do acre,-67.3978,-8.7522,74.26400000000002,74.26400000000002,75,100,1.28,BR,1619747250
363,lagoa,-27.9833,39.05,56.58800000000005,56.58800000000005,61,99,2.11,PT,1619747251
364,birao,22.7882,10.2849,76.28000000000004,76.28000000000004,62,92,1.91,CF,1619747252
365,mildura,142.15,-34.2,75.1100000000001,77.0,28,0,3.6,AU,1619747226
366,tocopilla,-70.1979,-22.092,67.08200000000002,67.08200000000002,68,0,3.89,CL,1619747254
367,lohja,24.0653,60.2486,28.43600000000007,30.002000000000077,90,1,2.24,FI,1619747254
368,eureka,-124.1637,40.8021,57.00200000000008,57.992,68,100,1.79,US,1619747255
369,homer,-151.5483,59.6425,42.15200000000008,44.6,76,90,3.6,US,1619747256
370,havre-saint-pierre,-63.5986,50.2334,39.2,39.2,93,90,2.06,CA,1619747256
371,tual,132.75,-5.6667,82.34600000000006,82.34600000000006,72,100,1.99,ID,1619747041
372,jimo,120.4622,36.3897,59.0,59.0,47,0,1.0,CN,1619747257
373,fomboni,43.7425,-12.28,81.12200000000004,81.12200000000004,78,9,0.83,KM,1619747258
374,pisco,-76.2167,-13.7,66.542,66.992,88,0,3.6,PE,1619747259
375,polje,18.0744,43.8806,53.31200000000006,53.6,76,0,1.54,BA,1619747259
376,kyra,111.9753,49.5776,38.75,38.75,42,91,5.14,RU,1619747260
377,camacha,-16.3333,33.0833,60.8,60.8,63,40,4.12,PT,1619747261
378,whitehorse,-135.0538,60.7161,38.84000000000002,39.2,93,90,5.66,CA,1619747261
379,paamiut,-49.6678,61.994,35.978000000000065,35.978000000000065,86,5,1.28,GL,1619747262
380,hambantota,81.1185,6.1241,80.6180000000001,80.6180000000001,79,95,2.79,LK,1619747263
381,milkovo,158.6167,54.7167,39.16400000000003,39.16400000000003,85,100,0.79,RU,1619747264
382,eyemouth,-2.0901,55.8713,37.45400000000005,39.00200000000008,82,20,4.01,GB,1619747264
383,neiafu,-173.9833,-18.65,84.2,84.2,79,75,2.57,TO,1619747080
384,bereznik,42.7072,62.8551,31.748000000000026,31.748000000000026,83,100,2.51,RU,1619747266
385,fairbanks,-147.7164,64.8378,46.52600000000009,48.2,53,90,5.14,US,1619747116
386,yarkovo,67.0786,57.4028,42.908,42.908,68,9,3.89,RU,1619747267
387,athabasca,-113.2854,54.7169,48.092,50.0,71,100,3.09,CA,1619747065
388,teya,92.6267,60.3778,36.860000000000085,36.860000000000085,93,100,4.48,RU,1619747268
389,santa maria,-53.8069,-29.6842,55.400000000000006,55.400000000000006,94,0,1.03,BR,1619747269
390,pemba,40.5178,-12.974,75.09200000000001,75.2,94,20,3.09,MZ,1619747270
391,ozernovskiy,156.5167,51.5,35.96000000000008,35.96000000000008,90,53,1.96,RU,1619747271
392,zhanakorgan,67.2495,43.9098,69.40400000000005,69.40400000000005,42,100,8.01,KZ,1619747271
393,mackay,149.2,-21.15,75.2,75.2,78,40,4.63,AU,1619747272
394,hamilton,-84.5333,39.1834,56.89400000000007,59.0,84,50,3.45,US,1619747104
395,dukat,155.55,62.55,28.741999999999997,28.741999999999997,89,95,2.02,RU,1619747273
396,pouembout,164.9,-21.1333,77.28800000000004,77.28800000000004,57,83,2.85,NC,1619747274
397,bumba,22.4667,2.1833,71.87000000000006,71.87000000000006,96,100,0.68,CD,1619747274
398,lacey,-122.8232,47.0343,66.32600000000009,68.0,34,1,5.14,US,1619746997
399,outjo,16.15,-20.1167,59.70200000000008,59.70200000000008,53,2,1.61,,1619747275
400,prado,-39.2208,-17.3411,75.50600000000003,75.50600000000003,76,94,4.84,BR,1619747276
401,hurricane,-113.2899,37.1753,74.76800000000009,84.2,12,1,5.14,US,1619747277
402,kieta,155.6333,-6.2167,82.49000000000001,82.49000000000001,76,38,1.25,PG,1619747278
403,guerrero negro,-114.0611,27.9769,65.13800000000005,65.13800000000005,67,0,7.21,MX,1619747091
404,necochea,-58.7368,-38.5473,57.00200000000008,57.00200000000008,87,60,3.58,AR,1619747048
405,kachug,105.8817,53.9606,41.432000000000016,41.432000000000016,49,38,1.53,RU,1619747280
406,charlestown,151.6667,-32.95,70.07000000000006,73.99400000000007,80,7,2.29,AU,1619747197
407,sungaipenuh,101.3833,-2.0833,66.45200000000008,66.45200000000008,93,100,0.69,ID,1619747281
408,vysoke,29.5167,50.3833,53.22200000000004,53.6,66,86,4.0,UA,1619747282
409,nangong,115.3744,37.3581,60.83600000000007,60.83600000000007,22,99,6.09,CN,1619747282
410,tautira,-149.15,-17.7333,89.6,89.6,58,40,2.06,PF,1619747284
411,asyut,31.1837,27.180999999999997,71.6,71.6,37,0,3.09,EG,1619747203
412,sakaiminato,133.2333,35.55,63.59000000000002,68.0,52,75,10.8,JP,1619747285
413,port shepstone,30.455,-30.7414,65.51600000000002,65.51600000000002,88,100,7.45,ZA,1619747286
414,dicabisagan,122.4157,17.0818,84.34400000000007,84.34400000000007,58,12,1.55,PH,1619747287
415,strezhevoy,77.5889,60.7333,35.6,35.6,100,90,2.0,RU,1619747287
416,iracoubo,-53.2011,5.4802,75.63200000000002,75.63200000000002,90,100,1.92,GF,1619747288
417,kenai,-151.2583,60.5544,44.47400000000002,46.4,76,75,8.23,US,1619747289
418,qaanaaq,-69.3632,77.484,25.358000000000004,25.358000000000004,62,100,4.49,GL,1619747290
419,te anau,167.7167,-45.4167,58.83800000000005,58.83800000000005,64,4,1.24,NZ,1619747277
420,kiomboi,34.3667,-4.2667,58.55,58.55,92,64,2.59,TZ,1619747291
421,maumere,122.2111,-8.6199,83.80400000000006,83.80400000000006,69,30,0.94,ID,1619747292
422,ambilobe,49.05,-13.2,72.03200000000001,72.03200000000001,92,10,1.37,MG,1619747293
423,taoudenni,-3.9836,22.6783,86.18000000000004,86.18000000000004,26,78,9.75,ML,1619747293
424,vieste,16.175,41.8825,59.0,59.0,77,0,1.54,IT,1619747294
425,fereydun kenar,52.5225,36.6864,60.890000000000015,60.890000000000015,87,0,1.12,IR,1619747074
426,talaya,152.75,61.3833,30.128000000000064,30.128000000000064,87,97,1.67,RU,1619747295
427,tabou,-7.3528,4.423,78.98000000000005,78.98000000000005,85,100,2.0,CI,1619747296
428,kurchum,83.6542,48.5722,65.58800000000005,65.58800000000005,39,59,2.08,KZ,1619747297
429,maniitsoq,-52.9,65.4167,35.33000000000004,35.33000000000004,78,46,2.37,GL,1619747297
430,sukaraja,108.1944,-7.4519,82.4,82.4,68,85,1.16,ID,1619747298
431,aswan,32.907,24.0934,82.70600000000003,82.70600000000003,13,2,4.24,EG,1619747299
432,sola,167.55,-13.8833,81.55400000000006,81.55400000000006,65,80,9.34,VU,1619747299
433,mackenzie,-123.1698,55.2999,50.0,50.0,93,90,4.63,CA,1619747300
434,barcelona,2.1590000000000003,41.3888,58.766000000000005,60.00800000000001,94,75,2.57,ES,1619746692
435,midland,-102.0779,31.9974,55.81400000000003,55.99400000000007,100,90,2.57,US,1619747138
436,kosonsoy,71.5508,41.2561,68.0,68.0,34,0,4.12,UZ,1619747303
437,kavieng,150.7967,-2.5744,84.70400000000006,84.70400000000006,69,49,3.99,PG,1619747303
438,genhe,121.5167,50.7833,34.483999999999995,34.483999999999995,88,100,2.63,CN,1619747125
439,fuerte olimpo,-57.8738,-21.0415,62.22200000000004,62.22200000000004,44,0,2.43,PY,1619747305
440,guarapari,-40.4975,-20.6667,71.6,71.6,78,75,3.6,BR,1619747305
441,llanes,-4.7549,43.4198,51.17000000000006,53.00600000000003,75,99,2.03,ES,1619747306
442,koubia,-11.9,11.5833,80.6,80.6,35,99,2.22,GN,1619747307
443,victoria,114.1577,22.2855,76.15400000000005,78.99800000000002,74,100,0.45,HK,1619747308
444,seimeni,28.0667,44.3833,44.79800000000002,44.99600000000005,100,90,3.09,RO,1619747309
445,noumea,166.4572,-22.2763,80.85200000000009,80.99600000000007,54,0,3.6,NC,1619747310
446,brae,-1.3530000000000002,60.3964,37.4,37.4,87,20,4.12,GB,1619747310
447,siyana,78.0599,28.6277,87.78200000000001,87.78200000000001,22,16,1.8,IN,1619747311
448,sagua de tanamo,-75.2414,20.5819,72.59000000000002,72.59000000000002,87,10,2.24,CU,1619747312
449,pasir gudang,103.8805,1.4584,83.93000000000004,86.0,83,75,1.03,MY,1619747313
450,alta floresta,-56.0861,-9.8756,70.53800000000004,70.53800000000004,96,96,0.97,BR,1619747314
451,warmbad,18.7333,-28.45,50.86400000000003,50.86400000000003,54,0,4.26,,1619747314
452,karaman,33.25,37.0833,60.99800000000003,60.99800000000003,46,95,2.07,TR,1619747315
453,ola,151.2833,59.5833,37.59800000000003,37.59800000000003,62,42,0.78,RU,1619747315
454,santa vitoria do palmar,-53.3681,-33.5189,56.84000000000002,56.84000000000002,76,0,1.59,BR,1619747316
455,belyy yar,91.3903,53.6039,42.8,42.8,100,75,1.0,RU,1619747317
456,nemuro,145.575,43.3236,39.2,39.2,100,75,7.72,JP,1619747317
457,salaga,-0.5188,8.5508,81.608,81.608,64,81,2.2,GH,1619747318
458,kimbe,150.1429,-5.5502,87.27800000000008,87.27800000000008,62,87,2.38,PG,1619747319
459,anadyr,177.4833,64.75,24.35,24.8,80,0,5.0,RU,1619747319
460,morant bay,-76.4093,17.8815,77.55799999999999,82.4,65,20,8.23,JM,1619747319
461,den helder,4.7593,52.9599,44.87000000000006,44.99600000000005,93,90,2.57,NL,1619747321
462,shieli,66.75,44.1667,66.83000000000004,66.83000000000004,49,100,7.35,KZ,1619747321
463,gunjur,-16.7339,13.2019,69.80000000000001,69.80000000000001,83,0,5.14,GM,1619747322
464,puka,26.2436,58.0559,39.63200000000002,41.0,75,90,2.06,EE,1619747322
465,sibolga,98.7792,1.7427,77.2520000000001,77.2520000000001,88,100,0.89,ID,1619747049
466,khuzdar,66.6434,27.7384,72.64400000000006,72.64400000000006,38,50,1.63,PK,1619747323
467,itoman,127.6694,26.1247,72.12200000000004,73.4,64,20,3.09,JP,1619747324
468,itarema,-39.9167,-2.9248,77.75600000000003,77.75600000000003,82,100,3.83,BR,1619747325
469,san joaquin,-121.3011,37.9333,86.0,87.80000000000001,18,1,1.54,US,1619747325
470,hamada,132.0833,34.8833,64.4,64.4,68,75,6.69,JP,1619747326
471,chifeng,118.9636,42.2683,51.20600000000003,51.20600000000003,12,100,3.25,CN,1619747327
472,paredon,-93.8667,16.0333,83.76800000000009,83.76800000000009,67,17,1.79,MX,1619747327
473,lorengau,147.2712,-2.0226,84.48800000000006,84.48800000000006,72,99,1.5,PG,1619747328
474,cozumel,-86.9458,20.5083,81.32000000000006,82.00400000000006,74,40,5.14,MX,1619747329
475,chinsali,32.0816,-10.5414,60.890000000000015,60.890000000000015,98,64,1.89,ZM,1619747329
476,viedma,-62.9967,-40.8135,67.53200000000002,67.53200000000002,53,100,8.21,AR,1619747330
477,camabatela,15.375,-8.1881,63.608000000000004,63.608000000000004,98,97,0.86,AO,1619747331
478,chama,8.4636,47.1821,48.14600000000005,51.998000000000026,93,90,1.54,CH,1619747331
479,yinchuan,106.2731,38.4681,62.85200000000009,62.85200000000009,25,6,3.75,CN,1619747332
480,zhangjiakou,114.8794,40.81,36.82400000000001,36.82400000000001,88,100,1.41,CN,1619747333
481,tabory,64.5495,58.5198,38.444000000000074,38.444000000000074,67,21,3.98,RU,1619747334
482,mecca,39.8261,21.4267,85.78399999999999,85.78399999999999,38,82,2.41,SA,1619747334
483,slave lake,-114.76899999999999,55.2834,36.62600000000009,36.62600000000009,98,100,3.88,CA,1619747335
484,koraput,82.7167,18.8167,82.94000000000001,82.94000000000001,32,0,1.36,IN,1619747336
485,hirado,129.5531,33.3597,69.38600000000008,69.80000000000001,73,75,12.35,JP,1619747336
486,conselheiro pena,-41.4722,-19.1722,68.75600000000003,68.75600000000003,91,99,1.8,BR,1619747337
487,okaihau,173.7833,-35.3167,69.99800000000002,69.99800000000002,59,37,1.34,NZ,1619747338
488,stara moravica,19.4661,45.8689,55.400000000000006,55.400000000000006,94,0,3.6,RS,1619747338
489,qaqortoq,-46.0333,60.7167,35.6,35.6,80,20,1.03,GL,1619747339
490,namur,4.8675,50.4669,35.76200000000006,37.4,80,75,1.54,BE,1619747220
491,shakhtinsk,72.5872,49.71,44.6,44.6,70,0,5.0,KZ,1619747341
492,ankazoabo,44.5167,-22.2833,70.25,70.25,67,0,2.18,MG,1619747341
493,karratha,116.8463,-20.7377,90.77000000000007,90.77000000000007,20,0,3.93,AU,1619747309
494,daitari,85.75,21.1,79.52000000000007,79.52000000000007,74,33,2.79,IN,1619747342
495,tutoia,-42.2744,-2.7619,76.58600000000007,76.58600000000007,88,100,4.09,BR,1619747343
496,mbalmayo,11.5,3.5167,71.6,71.6,94,75,2.06,CM,1619747343
497,deputatskiy,139.9,69.3,22.49600000000005,22.49600000000005,91,99,2.03,RU,1619747344
498,north bend,-124.2243,43.4065,55.670000000000066,57.00200000000008,76,1,3.6,US,1619747181
499,zabol,67.25,32.25,61.754000000000055,61.754000000000055,45,25,3.1,AF,1619747345
500,woodward,-99.3904,36.4337,73.4,73.4,27,1,4.63,US,1619747346
501,namibe,12.1522,-15.1961,74.066,74.066,75,81,1.64,AO,1619747347
502,dawson creek,-120.2362,55.7666,60.8,60.8,44,20,4.63,CA,1619747348
503,astoria,-123.8313,46.1879,54.48200000000001,55.00400000000005,76,40,5.66,US,1619747105
504,half moon bay,-122.4286,37.4636,56.246000000000045,64.00400000000005,82,40,5.66,US,1619747349
505,dzaoudzi,45.2699,-12.7887,80.6,80.6,83,0,1.54,YT,1619747350
506,santa adelia,-48.8042,-21.2428,59.900000000000006,59.900000000000006,70,98,6.18,BR,1619747351
507,manta,-80.7333,-0.95,77.0,77.0,83,75,4.12,EC,1619747351
508,terney,136.6092,45.0503,46.88600000000007,46.88600000000007,67,100,4.77,RU,1619747352
509,kiama,150.8667,-34.6833,71.31200000000007,73.99400000000007,59,0,0.45,AU,1619747066
510,kashan,51.4364,33.9831,68.46800000000009,68.46800000000009,30,0,0.46,IR,1619747353
511,kaele,14.4508,10.1092,84.542,84.542,44,96,1.37,CM,1619747354
512,verkhniy uslon,48.9823,55.7701,35.6,35.6,69,0,2.0,RU,1619747355
513,mountain home,-115.6912,43.133,82.4,82.4,15,1,2.57,US,1619747069
514,chernyshevskiy,112.4714,63.0128,33.56600000000001,33.56600000000001,85,100,3.37,RU,1619747356
515,margate,1.3862,51.3813,42.583999999999996,42.99800000000002,75,24,0.89,GB,1619747357
516,iquitos,-73.2472,-3.7481,75.2,75.2,94,75,0.51,PE,1619747358
517,zhangye,100.4517,38.9342,66.97400000000002,66.97400000000002,16,0,0.32,CN,1619747358
518,dongying,118.4856,37.4564,60.458000000000006,60.458000000000006,28,100,4.54,CN,1619747359
519,kaeng khoi,100.9976,14.5862,83.78600000000007,86.0,91,97,0.57,TH,1619747360
520,college,-147.8028,64.8569,45.30200000000008,48.2,53,75,5.66,US,1619747360
521,bambous virieux,57.7575,-20.3428,75.56000000000009,77.0,83,75,3.6,MU,1619747361
522,mushabani,86.45,22.5167,82.4,82.4,78,20,1.13,IN,1619747362
523,machachi,-78.5667,-0.5,53.582000000000015,57.2,100,90,2.06,EC,1619747363
524,gazanjyk,55.5154,39.2446,63.518000000000086,63.518000000000086,67,4,1.54,TM,1619747363
525,doha,51.5333,25.2867,77.5760000000001,78.80000000000001,38,0,2.57,QA,1619747255
526,san policarpo,125.5072,12.1791,81.62600000000009,81.62600000000009,73,15,2.0,PH,1619747365
527,vao,167.4833,-22.6667,74.94800000000002,74.94800000000002,57,94,9.5,NC,1619747365
528,ribeira brava,-17.0667,32.65,51.242,55.99400000000007,74,21,2.24,PT,1619747366
529,katsuura,140.3,35.1333,69.85400000000006,73.99400000000007,68,20,1.54,JP,1619747367
530,pemangkat,108.9667,1.1667,81.59000000000002,81.59000000000002,79,68,1.6,ID,1619747367
531,coromandel,-47.2003,-18.4733,63.91400000000003,63.91400000000003,86,100,1.78,BR,1619747368
532,mazatlan,-106.4167,23.2167,77.03600000000007,78.80000000000001,50,1,4.12,MX,1619747369
533,kaka,59.6143,37.3482,67.49600000000005,67.49600000000005,69,100,3.13,TM,1619747370
534,mbala,31.3659,-8.8402,58.46000000000008,58.46000000000008,95,100,2.51,ZM,1619747370
535,hofn,-15.2082,64.2539,39.308,39.308,64,16,3.3,IS,1619747371
536,king city,-121.126,36.2127,78.54800000000002,82.00400000000006,63,1,6.17,US,1619747371
537,touros,-35.4608,-5.1989,75.2,75.2,94,20,3.09,BR,1619747372
538,colares,-9.4469,38.7992,54.82400000000001,55.00400000000005,73,99,4.38,PT,1619747373
539,cartagena,-75.5144,10.3997,80.6,80.6,89,40,3.6,CO,1619747374
540,parainen,22.301,60.3067,30.614000000000033,33.008,80,0,1.54,FI,1619747374
541,zyryanka,150.85,65.75,33.26000000000008,33.26000000000008,87,100,1.4,RU,1619747375
542,mareeba,145.4333,-17.0,80.492,82.4,57,40,8.23,AU,1619747376
543,nakonde,32.745,-9.3421,57.21800000000009,57.21800000000009,97,100,1.5,ZM,1619747377
544,aykhal,111.5,66.0,28.922000000000036,28.922000000000036,91,69,3.14,RU,1619747377
545,fort nelson,-122.7002,58.8053,48.2,48.2,57,75,1.03,CA,1619747378
546,shenjiamen,122.29799999999999,29.9576,65.58800000000005,65.58800000000005,74,0,3.3,CN,1619747379
547,nome,-165.4064,64.5011,27.841999999999995,28.4,64,75,7.2,US,1619747307
548,trelew,-65.3051,-43.248999999999995,64.45400000000006,64.45400000000006,48,100,1.14,AR,1619747380
549,samfya,29.5565,-11.3649,64.47200000000004,64.47200000000004,93,50,2.83,ZM,1619747381
550,chaiya,99.1986,9.3862,80.6,80.6,94,20,1.54,TH,1619747381
551,eydhafushi,73.0708,5.1033,83.69600000000005,83.69600000000005,66,7,2.75,MV,1619747382
552,leshukonskoye,45.7622,64.8989,29.696000000000048,29.696000000000048,80,100,1.86,RU,1619747382
553,manokwari,134.0833,-0.8667,81.32000000000006,81.32000000000006,76,100,1.77,ID,1619747383
554,russellville,-93.1338,35.2784,67.22600000000008,68.0,94,1,1.54,US,1619747089
555,bartica,-58.6167,6.4,77.0,77.0,94,75,2.06,GY,1619747384
556,axim,-2.2405,4.8699,80.258,80.258,80,100,1.97,GH,1619747385
557,ambulu,113.6058,-8.345,83.858,83.858,69,22,1.36,ID,1619747385
558,mugumu,34.7,-1.85,57.41600000000001,57.41600000000001,87,99,1.96,TZ,1619747298
559,kautokeino,23.0412,69.0125,8.40200000000008,8.40200000000008,89,46,3.32,NO,1619747386
560,bubaque,-15.8333,11.2833,78.15200000000009,78.15200000000009,67,49,6.41,GW,1619747387
561,adamovka,59.9396,51.5223,43.754000000000055,43.754000000000055,67,2,2.22,RU,1619747388
562,kanye,25.3327,-24.9667,56.10200000000008,56.10200000000008,89,71,3.28,BW,1619747389
563,nhulunbuy,136.7667,-12.2333,86.0,86.0,62,40,5.66,AU,1619747389
564,mocuba,36.9856,-16.8392,69.63800000000005,69.63800000000005,98,30,1.14,MZ,1619747390
565,sri aman,111.4621,1.2376,75.2,75.2,100,40,0.61,MY,1619747391
566,gwanda,29.0,-20.9333,61.62800000000007,61.62800000000007,65,44,2.18,ZW,1619747391
567,bathsheba,-59.5167,13.2167,77.0,77.0,61,20,4.63,BB,1619747392
568,manitouwadge,-85.8403,49.1215,41.0,41.0,70,51,1.54,CA,1619747393
569,yerofey pavlovich,121.9667,53.9667,45.30200000000008,45.30200000000008,61,72,3.25,RU,1619747394
