,City,Longitude,Latitude,Temperature,Max_Temperature,Humidity,Clouds,Wind Speed,Country,Datetime
68,kahului,-156.47,20.8947,75.12800000000007,80.6,69,40,7.72,US,1619746777
69,tuktoyaktuk,-133.0374,69.4541,28.4,28.4,74,1,6.17,CA,1619747053
70,weifang,119.1019,36.71,63.08600000000007,63.08600000000007,32,80,5.8,CN,1619747066
71,bourail,165.4833,-21.5667,75.7760000000001,75.7760000000001,57,87,2.77,NC,1619747066
72,am timan,20.2827,11.0297,86.684,86.684,35,95,2.04,TD,1619747067
73,thompson,-97.8558,55.7435,32.0,32.0,43,20,6.17,CA,1619746936
74,cape town,18.4232,-33.9258,55.56200000000006,59.0,93,0,2.57,ZA,1619746240
75,yar-sale,70.8333,66.8333,28.291999999999994,28.291999999999994,96,100,3.55,RU,1619747068
76,copiapo,-70.3333,-27.3667,59.0,59.0,67,0,3.09,CL,1619747023
77,tahe,124.7333,52.3333,49.316,49.316,42,66,4.79,CN,1619747069
78,labuhan,112.2051,-6.8844,83.01200000000006,83.01200000000006,73,35,2.31,ID,1619747070
79,wanning,110.3967,18.8003,80.99600000000007,80.99600000000007,72,75,1.18,CN,1619747047
80,coihaique,-72.0662,-45.5752,50.233999999999995,50.233999999999995,95,70,2.36,CL,1619747071
81,katherine,132.2667,-14.4667,87.80000000000001,87.80000000000001,40,1,2.57,AU,1619747043
82,mabay,124.4666,6.0577,86.0,86.0,66,75,1.54,PH,1619747072
83,faanui,-151.75,-16.4833,81.62600000000009,81.62600000000009,70,100,1.85,PF,1619747073
84,east london,27.9116,-33.0153,63.23000000000005,63.23000000000005,82,100,6.1,ZA,1619746934
85,sao joao da barra,-41.0511,-21.6403,68.108,68.108,86,59,5.06,BR,1619746976
86,punta arenas,-70.9167,-53.15,42.386000000000074,42.8,93,90,5.66,CL,1619746898
87,gizo,156.8419,-8.103,83.01200000000006,83.01200000000006,72,33,2.09,SB,1619747075
88,airai,125.4092,-8.9266,73.92200000000004,73.92200000000004,56,11,1.57,TL,1619747076
89,flinders,150.8552,-34.5833,73.99400000000007,73.99400000000007,59,1,0.45,AU,1619747077
90,jalu,21.5482,29.0331,79.19600000000005,79.19600000000005,15,0,5.53,LY,1619747077
91,gushikawa,127.8686,26.3544,71.38399999999999,71.6,88,1,2.57,JP,1619747078
92,boyolangu,111.8935,-8.1181,82.13000000000005,82.13000000000005,75,47,2.32,ID,1619747079
93,tasiilaq,-37.6368,65.6145,32.0,32.0,86,100,7.2,GL,1619746979
94,hennef,7.2831,50.7756,37.49000000000002,41.0,87,20,3.09,DE,1619747080
95,yeppoon,150.7333,-23.1333,78.80000000000001,78.80000000000001,57,20,5.66,AU,1619747080
96,maymyo,96.4667,22.0333,78.80000000000001,78.80000000000001,69,20,1.54,MM,1619746990
97,cherskiy,161.3,68.75,20.858000000000004,20.858000000000004,84,90,5.37,RU,1619746983
